time_relative_to_merger_sec,ligo_strain,bruno_flash_strain
-0.04758041443114536,2.565346203810114e-19,8.267121028768672e-30
-0.047336271943486,2.8328736845487207e-19,9.280798356562481e-30
-0.04709212945582664,2.597491472751489e-19,1.0412558520112443e-29
-0.04684798696816728,2.1497023398885695e-19,1.1675369949996138e-29
-0.04660384448050792,2.457333098141223e-19,1.3083529658434453e-29
-0.046359701992848557,2.8011670244279133e-19,1.4652788226229567e-29
-0.046115559505189196,2.4523978635618646e-19,1.6400485314594212e-29
-0.045871417017529836,2.187908855094976e-19,1.8345696457789539e-29
-0.045627274529870476,2.3436509138252257e-19,2.0509391933554415e-29
-0.045383132042211116,2.6214666633616506e-19,2.2914608550279813e-29
-0.045138989554551756,2.513746013182657e-19,2.5586635232619386e-29
-0.044894847066892396,2.0546163040791921e-19,2.855321333059181e-29
-0.044650704579233036,2.1710709407857495e-19,3.1844752621038996e-29
-0.044406562091573676,2.589594019232626e-19,3.5494564014367215e-29
-0.044162419603914316,2.3980211879049726e-19,3.953911002359483e-29
-0.043918277116254956,2.030178285619483e-19,4.401827409661121e-29
-0.043674134628595596,2.099867851301101e-19,4.897564995594805e-29
-0.043429992140936236,2.4209529770529306e-19,5.44588521329713e-29
-0.043185849653276875,2.409383886449145e-19,6.051984892488941e-29
-0.042941707165617515,1.9636244761419033e-19,6.721531904297951e-29
-0.042697564677958155,1.9159542123307898e-19,7.460703325856527e-29
-0.042453422190298795,2.3310909352634274e-19,8.276226238910958e-29
-0.042209279702639435,2.3123105503598076e-19,9.175421299985277e-29
-0.041965137214980075,1.9098460064765097e-19,1.0166249222624637e-28
-0.041720994727320715,1.822718388763024e-19,1.1257360314846212e-28
-0.041476852239661355,2.15028157830186e-19,1.245814721709523e-28
-0.041232709752001995,2.297178840033845e-19,1.3778800987679017e-28
-0.040988567264342635,1.883415913564967e-19,1.5230370683770604e-28
-0.040744424776683275,1.655414939984291e-19,1.682482658656908e-28
-0.040500282289023914,2.0670350131026265e-19,1.8575127219008213e-28
-0.040256139801364554,2.1857846018574222e-19,2.0495290303442004e-28
-0.040011997313705194,1.8047624238307285e-19,2.260046780493549e-28
-0.039767854826045834,1.6429331747489052e-19,2.4907025203069376e-28
-0.039523712338386474,1.857490999952484e-19,2.743262513144734e-28
-0.039279569850727114,2.1109016257472627e-19,3.0196315519296703e-28
-0.039035427363067754,1.8028137563297207e-19,3.3218622363586867e-28
-0.038791284875408394,1.419354675492772e-19,3.6521647252873795e-28
-0.038547142387749034,1.768802493284517e-19,4.0129169755524294e-28
-0.038302999900089674,2.0063012661930384e-19,4.406675477499427e-28
-0.038058857412430314,1.7021576427877937e-19,4.836186496334481e-28
-0.037814714924770954,1.4552731625864078e-19,5.304397827108953e-28
-0.03757057243711159,1.569958128611305e-19,5.814471069669646e-28
-0.03732642994945223,1.903218247972635e-19,6.369794428253002e-28
-0.03708228746179287,1.7237385244440442e-19,6.973996038563722e-28
-0.03683814497413351,1.2510292108420243e-19,7.630957823148008e-28
-0.03659400248647415,1.4325515283741278e-19,8.34482987364223e-28
-0.03634985999881479,1.7773408729995815e-19,9.12004535604254e-28
-0.03610571751115543,1.569568872906125e-19,9.961335932494354e-28
-0.03586157502349607,1.2520329711628233e-19,1.0873747690236593e-27
-0.03561743253583671,1.2764853880205233e-19,1.1862657565251322e-27
-0.03537329004817735,1.603456190079785e-19,1.2933790244859773e-27
-0.03512914756051799,1.6140335571631703e-19,1.4093235529970313e-27
-0.03488500507285863,1.0858696144314987e-19,1.5347466133920361e-27
-0.03464086258519927,1.0991371640047858e-19,1.6703355890863622e-27
-0.03439672009753991,1.54654520243876e-19,1.816819834243753e-27
-0.03415257760988055,1.4136684337560628e-19,1.9749725667007785e-27
-0.03390843512222119,1.0716879850061947e-19,2.1456127911130242e-27
-0.03366429263456183,1.0114511275650597e-19,2.3296072478005382e-27
-0.03342015014690247,1.26821259545348e-19,2.5278723822631436e-27
-0.03317600765924311,1.4330309771222306e-19,2.7413763298104357e-27
-0.03293186517158375,9.593005911796554e-20,2.9711409092075e-27
-0.03268772268392439,7.458746557284396e-20,3.2182436186773847e-27
-0.03244358019626503,1.226043982321056e-19,3.4838196270267605e-27
-0.03219943770860567,1.2464294353806827e-19,3.7690637520740105e-27
-0.03195529522094631,8.645606921341291e-20,4.0752324179613214e-27
-0.03171115273328695,7.633436048839252e-20,4.403645582326987e-27
-0.03146701024562759,9.28253169555208e-20,4.755688623703239e-27
-0.03122286775796823,1.1923076282238382e-19,5.1328141788921855e-27
-0.03097872527030887,8.663961340268479e-20,5.536543919460439e-27
-0.03073458278264951,4.388040730720435e-20,5.968470255885625e-27
-0.03049044029499015,8.548165624391804e-20,6.4302579572889864e-27
-0.03024629780733079,1.0477094366318358e-19,6.923645674101253e-27
-0.03000215531967143,6.422084598043142e-20,7.450447350438724e-27
-0.02975801283201207,4.9339404434676697e-20,8.012553512417131e-27
-0.02951387034435271,6.156419549000012e-20,8.611932418107012e-27
-0.02926972785669335,8.495758536790042e-20,9.25063105434122e-27
-0.02902558536903399,7.421703210856237e-20,9.930775965127479e-27
