name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date,fluence_j_m2,Bruno_Trigger
SN2018gta,59.259875,-8.502708333333333,0.04,180.0,II,2018/09/16,2.5790115215211616e-07,False
SN2018gtg,29.35925,8.917372222222221,0.108,516.1,Ia,2018/09/14,3.1371159757263745e-08,False
SN2018gtp,315.27033333333327,31.037347222222223,0.08,380.0,Ia,2018/09/15,5.786701751889586e-08,False
SN2018gts,249.1974458333333,55.73580277777778,0.029597,133.932,II,2018/09/21,4.658322846555828e-07,False
SN2018gub,17.330208333333328,-15.594811111111111,0.105,500.8,Ia,2018/09/12,3.331728870280619e-08,False
SN2018guc,37.741208333333326,13.43945,0.091,430.0,Ia,2018/09/11,4.519198123163094e-08,False
SN2018guh,328.4039583333333,7.235083333333334,0.12,578.0,Ia,2018/09/08,2.5011665717988773e-08,False
SN2018gui,295.02825,66.88479722222223,0.028,127.0,Ia,2018/09/24,5.180728705889121e-07,False
SN2018gv,121.39420833333334,-11.437861111111111,0.005274,23.435,Ia,2018/01/15,1.5214874583496658e-05,True
SN2018gva,117.7899125,62.08671111111112,0.021465,96.5506,Ia,2018/09/25,8.963721167146326e-07,False
SN2018gvb,249.6432916666666,31.873019444444445,0.06424,298.01,Ia,2018/09/22,9.408851575115799e-08,False
SN2018gvi,43.900125,43.05758888888889,0.020908,94.0062,Ia,2018/09/24,9.455517381479817e-07,False
SN2018gvj,268.3955833333333,43.21611111111111,0.07,330.0,Ia,2018/09/18,7.673092130145604e-08,False
SN2018gvk,330.35670833333324,10.648602777777777,0.11,526.0,Ia,2018/09/19,3.020138114519713e-08,False
SN2018gvl,98.54520833333332,52.1298,0.035795,162.715,Ia,2018/09/22,3.156044451713793e-07,False
SN2018gvm,47.588875,-7.685022222222223,0.125,603.9,II,2018/09/11,2.2912276061230863e-08,False
SN2018gvn,273.9764583333333,44.69648611111111,0.04,180.0,II,2018/09/24,2.5790115215211616e-07,False
SN2018gvt,346.8855833333333,23.005813888888888,0.020811,93.5633,II,2018/09/27,9.545248304706227e-07,False
SN2018gvx,135.13145833333334,36.46187222222223,0.0893,421.4,Ia,2018/09/22,4.7055374043764e-08,False
SN2018gwa,110.06970833333332,41.34665,0.065947,306.291,IIn,2018/09/16,8.906966543171598e-08,False
SN2018gwb,293.8461249999999,64.75835,0.08,380.0,Ia,2018/09/19,5.786701751889586e-08,False
SN2018gwc,92.84833333333331,43.73496388888889,0.09,420.0,Ia,2018/09/13,4.736959937487848e-08,False
SN2018gwo,182.162125,68.77916388888889,0.007759,34.543,Ic,2018/09/28,7.002904233981441e-06,False
SN2018gwr,47.82800833333333,1.3169,0.032,145.0,II,2018/09/17,3.9743150200849286e-07,False
SN2018gwx,53.35833333333332,-18.835591666666662,0.107624,514.159,Ia,2018/09/16,3.160846516898876e-08,False
SN2018gxi,16.260291666666664,-21.936741666666663,0.057,263.0,II,2018/09/28,1.2080552458078852e-07,False
SN2018gxo,24.589541666666666,3.489802777777778,0.06,280.0,Ia,2018/09/19,1.0658159859347658e-07,False
SN2018gxp,321.696625,-4.792769444444445,0.1,480.0,Ia,2018/09/17,3.6267349521391334e-08,False
SN2018gxq,32.90941666666666,14.202330555555555,0.0259,116.9,Ia,2018/09/24,6.11461715190801e-07,False
SN2018gya,132.314125,21.58853611111111,0.0726,338.8,Ia-91T,2018/09/26,7.279666593366336e-08,False
SN2018gyr,12.446749999999998,-61.653619444444445,0.034551,156.918,Ia,2018/09/30,3.3935383709322236e-07,False
SN2018gys,349.4727583333333,-42.21315555555556,0.06,280.0,Ia,2018/09/30,1.0658159859347658e-07,False
SN2018H,160.85097499999998,7.100061111111111,0.083119,390.639,I,2018/01/02,5.475793898070609e-08,False
SN2018ha,137.84579166666666,23.857902777777777,0.061,282.0,Ia,2018/01/13,1.0507516384649368e-07,False
SN2018hay,140.82357916666666,42.38016111111112,0.009,40.0,II,2018/10/02,5.222498331080352e-06,False
SN2018hb,136.5635833333333,17.339344444444443,0.114,546.9,Ib,2018/01/14,2.7937172267555155e-08,False
SN2018hbh,335.14955416666663,-30.199744444444445,0.0701,326.5,Ia,2018/10/03,7.838481204410379e-08,False
SN2018hbu,15.913583333333332,-9.241644444444445,0.059,273.0,Ia,2018/10/01,1.1211739497012656e-07,False
SN2018hbz,170.97294166666663,58.14286111111111,0.04,180.0,Ia,2018/10/03,2.5790115215211616e-07,False
SN2018hc,138.91133333333332,17.306180555555557,0.102,485.5,II,2018/01/14,3.5450292593251934e-08,False
SN2018hcg,353.7322083333333,22.025944444444445,0.095,450.0,Ia,2018/10/04,4.1264184344338584e-08,False
SN2018hck,68.69279583333332,-13.483949999999998,0.033226,150.754,Ia,2018/10/05,3.676720394210823e-07,False
SN2018hcp,125.74025,27.702927777777777,0.01979,88.905,II P,2018/09/17,1.057172652227565e-06,False
SN2018hcq,125.10777083333332,-65.34181388888888,0.035491,161.298,Ia-91T,2018/10/06,3.2117396086598846e-07,False
SN2018hcr,336.4975416666666,3.458288888888889,0.04,180.0,Ia,2018/10/03,2.5790115215211616e-07,False
SN2018hcz,16.335479166666662,-47.19293888888888,0.021929,98.6717,Ib/c,2018/10/04,8.582485358445511e-07,False
SN2018hde,290.32591666666667,43.9902,0.034157,155.084,II P,2018/10/07,3.4742759058566624e-07,False
SN2018hdo,70.65770833333333,-53.26699166666666,0.041,187.0,Ia,2018/10/08,2.38954426198306e-07,False
SN2018hdp,33.43769999999999,4.102272222222222,0.011461,51.1669,Ic,2018/10/08,3.191685432112544e-06,False
SN2018hdy,68.4767375,0.0410805555555555,0.012,53.6,II P,2018/10/05,2.908497622566468e-06,False
SN2018hee,54.66799999999999,7.6637305555555555,0.034264,155.582,Ia,2018/10/07,3.4520699908669236e-07,False
SN2018heh,132.53191666666666,21.686805555555555,0.039037,177.871,II,2018/09/18,2.6411191801429815e-07,False
SN2018hfc,165.49409999999995,45.227538888888894,0.01998,89.772,II P,2018/10/07,1.0368513344214131e-06,False
SN2018hfg,133.23413333333332,42.41295833333333,0.023863,107.528,IIn,2018/10/07,7.22695176910377e-07,False
SN2018hfm,144.03625,6.2577,0.008087,36.012,II,2018/10/09,6.443232599488512e-06,False
SN2018hfp,314.94945416666667,-16.636644444444443,0.029037,131.344,Ia,2018/10/07,4.843706458640741e-07,False
SN2018hfr,142.72935833333332,-4.571294444444444,0.022599,101.737,Ia-91T,2018/10/10,8.073101975788163e-07,False
SN2018hfu,358.7121458333333,5.716161111111111,0.0498,228.7,Ia Pec,2018/10/09,1.597592317048484e-07,False
SN2018hfv,292.7205833333333,40.856475,0.083,390.0,Ia,2018/09/26,5.493752353536202e-08,False
SN2018hfx,334.20420833333327,8.545277777777777,0.1,480.0,Ia,2018/09/19,3.6267349521391334e-08,False
SN2018hgc,10.518999999999998,-2.6290305555555555,0.051782,238.114,Ia,2018/10/06,1.4737656543457342e-07,False
SN2018hgd,5.522179166666666,7.064091666666666,0.025,113.0,II,2018/10/10,6.543971595057219e-07,False
SN2018hgl,11.088624999999997,-17.35032777777778,0.031038,140.601,II,2018/10/10,4.2268951339487476e-07,False
SN2018hh,183.4224833333333,28.444411111111112,0.1,480.0,Ia,2018/01/14,3.6267349521391334e-08,False
SN2018hhn,343.13358333333326,11.674083333333332,0.02882,130.34,Ia,2018/10/13,4.91861533195317e-07,False
SN2018hhp,40.6392625,-9.467819444444444,0.030958,140.231,Ia,2018/10/14,4.249229916486211e-07,False
SN2018hhr,43.95387499999999,1.0785055555555556,0.016527,74.0656,II,2018/10/11,1.5232290082050615e-06,False
SN2018hhs,357.4924166666666,7.073261111111111,0.06,280.0,IIb,2018/10/11,1.0658159859347658e-07,False
